Reference,Transit Account #,Trip Time,Mode,Location,Product Type,Fare Amount ($)
104622777,573091239506,2023-03-14 22:59:22,Subway,2 Av,PAYGO,$2.75
77799980,450293034846,2022-09-17 18:00:14,Subway,Hunters Point Av,Stored Value,$2.75
77797371,573091239506,2022-09-17 18:00:13,Subway,Hunters Point Av,Stored Value,$2.75
77762464,573091239506,2022-09-17 14:15:37,Subway,36 Av,Stored Value,$2.75
76927794,450293034846,2022-09-13 16:02:49,Subway,36 Av,Stored Value,$2.75
76927793,573091239506,2022-09-13 16:02:47,Subway,36 Av,Stored Value,$2.75
76581490,573091239506,2022-09-11 19:24:20,Subway,Lexington Av / 59 St,Stored Value,$2.75
76583328,450293034846,2022-09-11 19:24:16,Subway,Lexington Av / 59 St,Stored Value,$2.75
76043045,573091239506,2022-09-08 09:26:57,Bus,Q69,Stored Value,$2.75
75578475,573091239506,2022-09-05 13:45:40,Subway,Flushing - Main St,Stored Value,$2.75
75578475,450293034846,2022-09-05 13:45:39,Subway,Flushing - Main St,Stored Value,$2.75
75566167,450293034846,2022-09-05 11:37:13,Subway,36 Av,Stored Value,$2.75
75564611,573091239506,2022-09-05 11:37:12,Subway,36 Av,Stored Value,$2.75
75401938,573091239506,2022-09-03 15:34:38,Subway,Lexington Av / 59 St,Stored Value,$2.75
75394708,573091239506,2022-09-03 14:57:07,Subway,36 Av,Stored Value,$2.75
75331754,450293034846,2022-09-02 20:48:00,Subway,14 St / 8 Av,Stored Value,$2.75
75333789,573091239506,2022-09-02 20:47:55,Subway,14 St / 8 Av,Stored Value,$2.75
75293329,450293034846,2022-09-02 16:28:57,Subway,Broadway-Lafayette St / Bleecker St,Stored Value,$2.75
75292373,573091239506,2022-09-02 16:28:54,Subway,Broadway-Lafayette St / Bleecker St,Stored Value,$2.75
75278498,450293034846,2022-09-02 15:08:22,Subway,36 Av,Stored Value,$2.75
73357223,573091239506,2022-08-18 18:54:34,Subway,Woodside - 61 St,Stored Value,$2.75
73331844,573091239506,2022-08-18 17:07:33,Subway,36 Av,Stored Value,$2.75
73191063,573091239506,2022-08-17 17:57:38,Subway,Lexington Av / 59 St,Stored Value,$2.75
73170872,573091239506,2022-08-17 17:10:50,Subway,36 Av,Stored Value,$2.75
